SS     14   20   10   42    0    0
 0.1670953E+03 0.1590231E+03 -.8978029E+02 0.3050386E+00 0.8107120E+00 -.4996974E+00 0.2028715E+00 -.6102237E+00 0.7535077E+00 0.2417546E-02 -.3789372E-02 -.1784876E-02 0.0000000E+00 0.0000000E+00
 0.1748660E+03 0.1756998E+03 -.9710583E+02 0.4718450E+00 0.8501754E+00 -.2335892E+00 0.2396533E+00 -.6803642E+00 0.7050641E+00 0.1281608E-02 -.3264681E-02 -.3087111E-02 0.1988659E+02 0.0000000E+00
 0.1857238E+03 0.1921415E+03 -.9904627E+02 0.6117474E+00 0.7905856E+00 0.2719410E-01 0.2538755E+00 -.7401337E+00 0.6306744E+00 0.5033214E-03 -.2768419E-02 -.3707386E-02 0.3976130E+02 0.0000000E+00
 0.1989171E+03 0.2066899E+03 -.9640367E+02 0.7110907E+00 0.6639396E+00 0.2313746E+00 0.2597185E+00 -.7907273E+00 0.5572695E+00 0.2281383E-03 -.2369137E-02 -.3450407E-02 0.5963430E+02 0.0000000E+00
 0.2136690E+03 0.2185634E+03 -.9045854E+02 0.7733956E+00 0.5209348E+00 0.3612287E+00 0.2630187E+00 -.8350871E+00 0.4923843E+00 0.6599772E-04 -.1968357E-02 -.2813635E-02 0.7951664E+02 0.0000000E+00
 0.2295348E+03 0.2275786E+03 -.8261842E+02 0.8242888E+00 0.3808441E+00 0.4189340E+00 0.2624187E+00 -.8712583E+00 0.4421558E+00 -.3507038E-04 -.1630477E-02 -.2181653E-02 0.9939901E+02 0.0000000E+00
 0.2463548E+03 0.2335634E+03 -.7398140E+02 0.8658242E+00 0.2283960E+00 0.4451781E+00 0.2615888E+00 -.9015752E+00 0.4034175E+00 -.1249539E-03 -.1257584E-02 -.1530995E-02 0.1192529E+03 0.0000000E+00
 0.2638581E+03 0.2369259E+03 -.6511933E+02 0.8903402E+00 0.1161590E+00 0.4402288E+00 0.2571361E+00 -.9243556E+00 0.3775204E+00 -.2393958E-03 -.6862365E-03 -.6694524E-03 0.1391689E+03 0.0000000E+00
 0.2816602E+03 0.2379383E+03 -.5641586E+02 0.8989896E+00 -.1554473E-01 0.4376940E+00 0.2493925E+00 -.9365664E+00 0.3692712E+00 -.2191134E-03 -.3990197E-03 -.2790594E-03 0.1590250E+03 0.0000000E+00
 0.2995267E+03 0.2366656E+03 -.4778460E+02 0.8973598E+00 -.1028684E+00 0.4291427E+00 0.2466793E+00 -.9434012E+00 0.3642001E+00 -.9896598E-04 -.1399072E-03 -.1888635E-03 0.1789144E+03 0.0000000E+00
 0.3173488E+03 0.2340853E+03 -.3934658E+02 0.8913413E+00 -.1652545E+00 0.4221396E+00 0.2445744E+00 -.9433776E+00 0.3600764E+00 -.5162659E-04 0.1466855E-03 -.1633371E-03 0.1988047E+03 0.0000000E+00
 0.3349374E+03 0.2301327E+03 -.3098533E+02 0.8794793E+00 -.2264519E+00 0.4186116E+00 0.2444554E+00 -.9370871E+00 0.3571661E+00 0.2622036E-04 0.3671312E-03 -.1797065E-03 0.2186799E+03 0.0000000E+00
 0.3523725E+03 0.2253139E+03 -.2271799E+02 0.8747251E+00 -.2543488E+00 0.4125077E+00 0.2457577E+00 -.9268144E+00 0.3519688E+00 0.1132818E-03 0.5422710E-03 -.3870840E-03 0.2385690E+03 0.0000000E+00
 0.3696624E+03 0.2198298E+03 -.1458710E+02 0.8656947E+00 -.2943485E+00 0.4048848E+00 0.2494762E+00 -.9130510E+00 0.3400097E+00 0.2276208E-03 0.7674773E-03 -.6674252E-03 0.2584483E+03 0.0000000E+00
 0.3868376E+03 0.2137293E+03 -.6641283E+01 0.8630511E+00 -.3163003E+00 0.3938237E+00 0.2551367E+00 -.8951913E+00 0.3244682E+00 0.2835827E-03 0.9842883E-03 -.7553205E-03 0.2783320E+03 0.0000000E+00
 0.4039845E+03 0.2072732E+03 0.1076337E+01 0.8606246E+00 -.3349717E+00 0.3835613E+00 0.2607953E+00 -.8737637E+00 0.3098614E+00 0.2934307E-03 0.1146787E-02 -.7410928E-03 0.2982135E+03 0.0000000E+00
 0.4210695E+03 0.2004728E+03 0.8635252E+01 0.8585373E+00 -.3470995E+00 0.3774064E+00 0.2668604E+00 -.8493729E+00 0.2948588E+00 0.2699508E-03 0.1306124E-02 -.7074215E-03 0.3180952E+03 0.0000000E+00
 0.4381388E+03 0.1935389E+03 0.1610880E+02 0.8578972E+00 -.3509232E+00 0.3753205E+00 0.2715465E+00 -.8217452E+00 0.2816872E+00 0.2022546E-03 0.1465452E-02 -.6127805E-03 0.3379773E+03 0.0000000E+00
 0.4551603E+03 0.1864957E+03 0.2358918E+02 0.8541296E+00 -.3574666E+00 0.3777305E+00 0.2749179E+00 -.7909913E+00 0.2704465E+00 0.1444750E-03 0.1616754E-02 -.5242392E-03 0.3578594E+03 0.0000000E+00
 0.4720932E+03 0.1793290E+03 0.3115158E+02 0.8490157E+00 -.3633649E+00 0.3835861E+00 0.2773033E+00 -.7573240E+00 0.2607983E+00 0.9548383E-04 0.1770029E-02 -.4463288E-03 0.3777410E+03 0.0000000E+00
 0.1783739E+03 0.1250098E+03 -.4958002E+02 0.3283419E+00 0.6777983E+00 -.4025550E+00 0.2673059E+00 -.6861739E+00 0.6746065E+00 -.1007869E-02 -.1490762E-02 0.4920533E-02 0.0000000E+00 0.5407655E+02
 0.1866784E+03 0.1382835E+03 -.5661604E+02 0.5025275E+00 0.6549961E+00 -.2943352E+00 0.2520039E+00 -.7263833E+00 0.7402110E+00 -.5310571E-03 -.2553115E-02 0.1677330E-02 0.1988659E+02 0.5407655E+02
 0.1981099E+03 0.1509741E+03 -.6090437E+02 0.6346624E+00 0.6083370E+00 -.1278220E+00 0.2457385E+00 -.7898414E+00 0.7427368E+00 -.1615678E-03 -.3281468E-02 -.8130749E-03 0.3976130E+02 0.5407655E+02
 0.2117456E+03 0.1620917E+03 -.6146745E+02 0.7290068E+00 0.5047532E+00 0.6519962E-01 0.2454483E+00 -.8595232E+00 0.7072235E+00 0.1757771E-04 -.3359541E-02 -.2187414E-02 0.5963430E+02 0.5407655E+02
 0.2267406E+03 0.1710000E+03 -.5873024E+02 0.7840169E+00 0.3850033E+00 0.2086171E+00 0.2464385E+00 -.9235637E+00 0.6556648E+00 0.3669678E-04 -.2922319E-02 -.2606488E-02 0.7951664E+02 0.5407655E+02
 0.2427399E+03 0.1775925E+03 -.5375036E+02 0.8280261E+00 0.2716049E+00 0.2865307E+00 0.2469147E+00 -.9762971E+00 0.6030700E+00 0.1709569E-04 -.2445458E-02 -.2612797E-02 0.9939901E+02 0.5407655E+02
 0.2595771E+03 0.1816052E+03 -.4745771E+02 0.8617479E+00 0.1393878E+00 0.3391564E+00 0.2471204E+00 -.1021092E+01 0.5514685E+00 -.2221524E-04 -.2029356E-02 -.2534745E-02 0.1192529E+03 0.5407655E+02
